Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(kN),(mm),(%),(MPa)
0,0,0.0005,0,0,0.0044
0.02,0.0004,0.0005,0.0004,0.0004,0.0045
0.04,0.0015,0.0006,0.0015,0.0012,0.0049
0.06,0.0054,0.0009,0.0054,0.0044,0.0071
0.08,0.0123,0.0017,0.0123,0.0101,0.0137
0.1,0.0185,0.0029,0.0185,0.0151,0.0236
0.12,0.0249,0.004,0.0249,0.0203,0.0325
0.14,0.0321,0.0049,0.0321,0.0261,0.04
0.16,0.0396,0.0058,0.0396,0.0323,0.047
0.18,0.0466,0.0066,0.0466,0.038,0.054
0.2,0.0542,0.0074,0.0542,0.0441,0.0607
0.22,0.0617,0.0083,0.0617,0.0502,0.0675
0.24,0.0671,0.0091,0.0671,0.0546,0.0741
0.26,0.0722,0.0097,0.0722,0.0588,0.0791
0.28,0.0778,0.0101,0.0778,0.0634,0.0828
0.3,0.0843,0.0105,0.0843,0.0687,0.0854
0.32,0.0913,0.0106,0.0913,0.0744,0.0869
0.34,0.0982,0.0108,0.0982,0.08,0.0878
0.36,0.1062,0.0109,0.1062,0.0865,0.0887
0.38,0.1143,0.011,0.1143,0.0931,0.0901
0.4,0.12,0.0113,0.12,0.0978,0.0925
0.42,0.1254,0.0117,0.1254,0.1022,0.0952
0.44,0.1313,0.012,0.1313,0.1069,0.0977
0.46,0.1378,0.0123,0.1378,0.1122,0.1004
0.48,0.1445,0.0127,0.1445,0.1177,0.1039
0.5,0.1512,0.0132,0.1512,0.1232,0.1077
0.52,0.159,0.0137,0.159,0.1295,0.1117
0.54,0.1666,0.0142,0.1666,0.1357,0.1162
0.56,0.1723,0.0148,0.1723,0.1404,0.1208
0.58,0.178,0.0153,0.178,0.145,0.1251
0.6,0.1841,0.0158,0.1841,0.15,0.1288
0.62,0.1908,0.0162,0.1908,0.1555,0.1326
0.64,0.1977,0.0167,0.1977,0.161,0.1366
0.66,0.2044,0.0173,0.2044,0.1665,0.1409
0.68,0.2123,0.0179,0.2123,0.173,0.146
0.7,0.2198,0.0186,0.2198,0.1791,0.1522
0.72,0.2255,0.0194,0.2255,0.1837,0.1586
0.74,0.2312,0.0202,0.2312,0.1884,0.1645
0.76,0.2373,0.0209,0.2373,0.1934,0.1704
0.78,0.2441,0.0217,0.2441,0.1989,0.1768
0.8,0.2508,0.0225,0.2508,0.2043,0.1837
0.82,0.258,0.0234,0.258,0.2101,0.191
0.84,0.2665,0.0244,0.2665,0.2171,0.1996
0.86,0.2736,0.0255,0.2736,0.2229,0.2085
0.88,0.279,0.0265,0.279,0.2273,0.2166
0.9,0.2846,0.0274,0.2846,0.2318,0.2234
0.92,0.2905,0.0282,0.2905,0.2367,0.2299
0.94,0.2972,0.029,0.2972,0.2421,0.2367
0.96,0.304,0.0299,0.304,0.2476,0.2438
0.98,0.3111,0.0308,0.3111,0.2535,0.2511
1,0.3197,0.0318,0.3197,0.2605,0.2593
1.02,0.3264,0.0328,0.3264,0.2659,0.2679
1.04,0.3318,0.0337,0.3318,0.2703,0.2752
1.06,0.3377,0.0345,0.3377,0.2751,0.2817
1.08,0.3443,0.0353,0.3443,0.2805,0.2883
1.1,0.3515,0.0362,0.3515,0.2863,0.2955
1.12,0.3584,0.0371,0.3584,0.292,0.3031
1.14,0.366,0.0381,0.366,0.2982,0.3108
1.16,0.3737,0.0391,0.3737,0.3044,0.3188
1.18,0.3794,0.04,0.3794,0.309,0.3264
1.2,0.3848,0.0407,0.3848,0.3135,0.3326
1.22,0.3907,0.0414,0.3907,0.3183,0.3384
1.24,0.3974,0.0422,0.3974,0.3237,0.3443
1.26,0.4045,0.043,0.4045,0.3296,0.3512
1.28,0.4116,0.0439,0.4116,0.3353,0.3585
1.3,0.4197,0.0448,0.4197,0.3419,0.3659
1.32,0.4274,0.0458,0.4274,0.3482,0.3737
1.34,0.433,0.0466,0.433,0.3528,0.3805
1.36,0.4386,0.0473,0.4386,0.3573,0.386
1.38,0.4445,0.0479,0.4445,0.3621,0.3911
1.4,0.451,0.0486,0.451,0.3674,0.3967
1.42,0.4576,0.0494,0.4576,0.3728,0.4032
1.44,0.4645,0.0503,0.4645,0.3784,0.4106
1.46,0.4726,0.0513,0.4726,0.385,0.4189
1.48,0.4799,0.0525,0.4799,0.391,0.4285
1.5,0.4852,0.0535,0.4852,0.3953,0.437
1.52,0.4906,0.0544,0.4906,0.3997,0.4438
1.54,0.4967,0.0551,0.4967,0.4046,0.4497
1.56,0.5037,0.0559,0.5037,0.4103,0.4563
1.58,0.5108,0.0568,0.5108,0.4162,0.4639
1.6,0.5184,0.0578,0.5184,0.4223,0.4722
1.62,0.5271,0.0589,0.5271,0.4294,0.4811
1.64,0.534,0.0601,0.534,0.435,0.4906
1.66,0.5391,0.0611,0.5391,0.4392,0.4985
1.68,0.5444,0.0618,0.5444,0.4435,0.5044
1.7,0.5504,0.0625,0.5504,0.4484,0.5098
1.72,0.5572,0.0632,0.5572,0.4539,0.516
1.74,0.5642,0.0641,0.5642,0.4596,0.5234
1.76,0.5718,0.0651,0.5718,0.4658,0.5316
1.78,0.5801,0.0662,0.5801,0.4726,0.5405
1.8,0.5865,0.0673,0.5865,0.4778,0.5494
1.82,0.592,0.0682,0.592,0.4823,0.5571
1.84,0.5976,0.069,0.5976,0.4869,0.5632
1.86,0.6039,0.0697,0.6039,0.492,0.5689
1.88,0.611,0.0705,0.611,0.4977,0.5754
1.9,0.6179,0.0714,0.6179,0.5034,0.583
1.92,0.6253,0.0724,0.6253,0.5094,0.5907
1.94,0.6333,0.0734,0.6333,0.5159,0.5988
1.96,0.6393,0.0744,0.6393,0.5208,0.6069
1.98,0.6448,0.0752,0.6448,0.5253,0.6136
2,0.6509,0.0759,0.6509,0.5303,0.6195
2.02,0.6576,0.0767,0.6576,0.5357,0.6258
2.04,0.6647,0.0775,0.6647,0.5415,0.633
2.06,0.6717,0.0785,0.6717,0.5472,0.6407
2.08,0.6798,0.0795,0.6798,0.5538,0.6487
2.1,0.6879,0.0805,0.6879,0.5604,0.6575
2.12,0.6933,0.0816,0.6933,0.5648,0.6657
2.14,0.6984,0.0823,0.6984,0.569,0.6717
2.16,0.704,0.0829,0.704,0.5735,0.6766
2.18,0.7104,0.0836,0.7104,0.5787,0.6821
2.2,0.7174,0.0844,0.7174,0.5845,0.6887
2.22,0.725,0.0853,0.725,0.5907,0.6965
2.24,0.7339,0.0864,0.7339,0.5978,0.7051
2.26,0.7416,0.0876,0.7416,0.6042,0.7148
2.28,0.7469,0.0886,0.7469,0.6085,0.7231
2.3,0.7523,0.0893,0.7523,0.6128,0.7291
2.32,0.758,0.0899,0.758,0.6175,0.7341
2.34,0.7644,0.0906,0.7644,0.6227,0.7397
2.36,0.7707,0.0914,0.7707,0.6279,0.7461
2.38,0.7772,0.0922,0.7772,0.6332,0.753
2.4,0.7849,0.0931,0.7849,0.6395,0.7603
2.42,0.7925,0.0942,0.7925,0.6456,0.7687
2.44,0.7982,0.0952,0.7982,0.6503,0.7768
2.46,0.804,0.096,0.804,0.655,0.7834
2.48,0.8104,0.0967,0.8104,0.6602,0.7893
2.5,0.8173,0.0975,0.8173,0.6659,0.7958
2.52,0.8243,0.0984,0.8243,0.6716,0.8033
2.54,0.8317,0.0994,0.8317,0.6776,0.8112
2.56,0.8404,0.1004,0.8404,0.6847,0.82
2.58,0.8474,0.1016,0.8474,0.6903,0.8296
2.6,0.8525,0.1026,0.8525,0.6945,0.8378
2.62,0.8579,0.1033,0.8579,0.6989,0.8436
2.64,0.8639,0.104,0.8639,0.7038,0.8489
2.66,0.8705,0.1047,0.8705,0.7092,0.8549
2.68,0.8773,0.1056,0.8773,0.7147,0.8623
2.7,0.8852,0.1066,0.8852,0.7212,0.8705
2.72,0.8944,0.1078,0.8944,0.7286,0.8803
2.74,0.9008,0.1091,0.9008,0.7339,0.8909
2.76,0.906,0.1102,0.906,0.7381,0.8992
2.78,0.9111,0.1109,0.9111,0.7423,0.9052
2.8,0.9171,0.1116,0.9171,0.7471,0.9106
2.82,0.9236,0.1123,0.9236,0.7524,0.9168
2.84,0.9303,0.1132,0.9303,0.7579,0.9243
2.86,0.9378,0.1142,0.9378,0.764,0.9326
2.88,0.9463,0.1154,0.9463,0.7709,0.9419
2.9,0.9524,0.1166,0.9524,0.7758,0.9516
2.92,0.9577,0.1175,0.9577,0.7802,0.9595
2.94,0.9636,0.1183,0.9636,0.785,0.9658
2.96,0.9704,0.1191,0.9704,0.7905,0.9725
2.98,0.9776,0.1201,0.9776,0.7964,0.9803
3,0.9848,0.1211,0.9848,0.8023,0.989
3.02,0.9929,0.1223,0.9929,0.8089,0.9982
3.04,1.0009,0.1235,1.0009,0.8154,1.0081
3.06,1.0068,0.1246,1.0068,0.8202,1.0174
3.08,1.0124,0.1255,1.0124,0.8248,1.0248
3.1,1.0185,0.1263,1.0185,0.8297,1.031
3.12,1.0252,0.1271,1.0252,0.8352,1.0376
3.14,1.0318,0.128,1.0318,0.8406,1.0452
3.16,1.0384,0.129,1.0384,0.846,1.0531
3.18,1.0466,0.13,1.0466,0.8526,1.0614
3.2,1.0541,0.1312,1.0541,0.8588,1.0709
3.22,1.0597,0.1323,1.0597,0.8633,1.0797
3.24,1.0652,0.1331,1.0652,0.8678,1.0866
3.26,1.071,0.1338,1.071,0.8725,1.0925
3.28,1.0773,0.1346,1.0773,0.8777,1.0987
3.3,1.0835,0.1354,1.0835,0.8827,1.1056
3.32,1.0904,0.1363,1.0904,0.8883,1.1128
3.34,1.0989,0.1373,1.0989,0.8952,1.1211
3.36,1.1065,0.1386,1.1065,0.9014,1.1311
3.38,1.112,0.1397,1.112,0.9059,1.1401
3.4,1.1176,0.1405,1.1176,0.9105,1.147
3.42,1.1238,0.1413,1.1238,0.9156,1.1532
3.44,1.1308,0.1421,1.1308,0.9212,1.1597
3.46,1.1381,0.143,1.1381,0.9271,1.1678
3.48,1.1456,0.1441,1.1456,0.9333,1.1764
3.5,1.1538,0.1453,1.1538,0.9399,1.1857
3.52,1.1597,0.1464,1.1597,0.9448,1.1951
3.54,1.1649,0.1473,1.1649,0.949,1.2024
3.56,1.1705,0.148,1.1705,0.9535,1.2081
3.58,1.1768,0.1487,1.1768,0.9587,1.2139
3.6,1.1839,0.1495,1.1839,0.9645,1.2207
