Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(mm),(%),(MPa)
"0.0000","0.0000","-0.0060","0.0000","0.0000","0.0000"
"0.0200","0.0004","0.0068","0.0004","0.0004","0.0001"
"0.0400","0.0018","0.0217","0.0018","0.0020","0.0002"
"0.0600","0.0065","0.0307","0.0065","0.0072","0.0002"
"0.0800","0.0144","0.0347","0.0144","0.0161","0.0003"
"0.1000","0.0216","0.0329","0.0216","0.0242","0.0003"
"0.1200","0.0292","0.0125","0.0292","0.0326","0.0001"
"0.1400","0.0365","0.0213","0.0365","0.0408","0.0002"
"0.1600","0.0421","0.0419","0.0421","0.0470","0.0003"
"0.1800","0.0475","0.0261","0.0475","0.0531","0.0002"
"0.2000","0.0531","0.0683","0.0531","0.0594","0.0005"
"0.2200","0.0595","0.0855","0.0595","0.0665","0.0007"
"0.2400","0.0663","0.1456","0.0663","0.0741","0.0011"
"0.2600","0.0734","0.1629","0.0734","0.0820","0.0013"
"0.2800","0.0816","0.2272","0.0816","0.0912","0.0018"
"0.3000","0.0893","0.2242","0.0893","0.0998","0.0017"
"0.3200","0.0947","0.2357","0.0947","0.1058","0.0018"
"0.3400","0.0999","0.2482","0.0999","0.1117","0.0019"
"0.3600","0.1054","0.2757","0.1054","0.1178","0.0021"
"0.3800","0.1117","0.2877","0.1117","0.1248","0.0022"
"0.4000","0.1184","0.3174","0.1184","0.1323","0.0025"
"0.4200","0.1252","0.3410","0.1252","0.1399","0.0026"
"0.4400","0.1330","0.3709","0.1330","0.1486","0.0029"
"0.4600","0.1402","0.3970","0.1402","0.1567","0.0031"
"0.4800","0.1458","0.4127","0.1458","0.1629","0.0032"
"0.5000","0.1516","0.4445","0.1516","0.1694","0.0035"
"0.5200","0.1579","0.4698","0.1579","0.1765","0.0036"
"0.5400","0.1652","0.4651","0.1652","0.1845","0.0036"
"0.5600","0.1722","0.4842","0.1722","0.1924","0.0038"
"0.5800","0.1794","0.4971","0.1794","0.2004","0.0039"
"0.6000","0.1879","0.5374","0.1879","0.2099","0.0042"
"0.6200","0.1950","0.5570","0.1950","0.2179","0.0043"
"0.6400","0.2004","0.5830","0.2004","0.2239","0.0045"
"0.6600","0.2060","0.6058","0.2060","0.2302","0.0047"
"0.6800","0.2123","0.6351","0.2123","0.2372","0.0049"
"0.7000","0.2190","0.6549","0.2190","0.2447","0.0051"
"0.7200","0.2255","0.6580","0.2255","0.2519","0.0051"
"0.7400","0.2327","0.6844","0.2327","0.2600","0.0053"
"0.7600","0.2410","0.6918","0.2410","0.2693","0.0054"
"0.7800","0.2477","0.7021","0.2477","0.2768","0.0055"
"0.8000","0.2533","0.7178","0.2533","0.2830","0.0056"
"0.8200","0.2590","0.7590","0.2590","0.2894","0.0059"
"0.8400","0.2653","0.8023","0.2653","0.2965","0.0062"
"0.8600","0.2721","0.8214","0.2721","0.3041","0.0064"
"0.8800","0.2789","0.8169","0.2789","0.3116","0.0063"
"0.9000","0.2863","0.8308","0.2863","0.3199","0.0065"
"0.9200","0.2946","0.9207","0.2946","0.3291","0.0071"
"0.9400","0.3006","1.1482","0.3006","0.3359","0.0089"
"0.9600","0.3061","1.4427","0.3061","0.3421","0.0112"
"0.9800","0.3121","1.7344","0.3121","0.3487","0.0135"
"1.0000","0.3187","2.0758","0.3187","0.3561","0.0161"
"1.0200","0.3257","2.5021","0.3257","0.3639","0.0194"
"1.0400","0.3324","3.0232","0.3324","0.3714","0.0235"
"1.0600","0.3400","3.6228","0.3400","0.3799","0.0281"
"1.0800","0.3477","4.3211","0.3477","0.3885","0.0336"
"1.1000","0.3534","5.0254","0.3534","0.3949","0.0390"
"1.1200","0.3591","5.6844","0.3591","0.4012","0.0441"
"1.1400","0.3651","6.3126","0.3651","0.4079","0.0490"
"1.1600","0.3718","6.9783","0.3718","0.4154","0.0542"
"1.1800","0.3786","7.7065","0.3786","0.4230","0.0598"
"1.2000","0.3854","8.4913","0.3854","0.4306","0.0659"
"1.2200","0.3935","9.3281","0.3935","0.4397","0.0724"
"1.2400","0.4015","10.2576","0.4015","0.4486","0.0796"
"1.2600","0.4073","11.1457","0.4073","0.4551","0.0865"
"1.2800","0.4130","11.9034","0.4130","0.4614","0.0924"
"1.3000","0.4189","12.5939","0.4189","0.4681","0.0978"
"1.3200","0.4255","13.2807","0.4255","0.4754","0.1031"
"1.3400","0.4322","14.0362","0.4322","0.4829","0.1090"
"1.3600","0.4393","14.8346","0.4393","0.4908","0.1152"
"1.3800","0.4475","15.7041","0.4475","0.5000","0.1219"
"1.4000","0.4543","16.6063","0.4543","0.5075","0.1289"
"1.4200","0.4596","17.3979","0.4596","0.5135","0.1351"
"1.4400","0.4651","18.0441","0.4651","0.5196","0.1401"
"1.4600","0.4710","18.6788","0.4710","0.5263","0.1450"
"1.4800","0.4779","19.3694","0.4779","0.5339","0.1504"
"1.5000","0.4850","20.1543","0.4850","0.5419","0.1565"
"1.5200","0.4924","20.9905","0.4924","0.5502","0.1630"
"1.5400","0.5010","21.8915","0.5010","0.5598","0.1700"
"1.5600","0.5080","22.8308","0.5080","0.5676","0.1773"
"1.5800","0.5136","23.6149","0.5136","0.5738","0.1834"
"1.6000","0.5191","24.2419","0.5191","0.5800","0.1882"
"1.6200","0.5255","24.8474","0.5255","0.5871","0.1929"
"1.6400","0.5325","25.5238","0.5325","0.5950","0.1982"
"1.6600","0.5394","26.2379","0.5394","0.6027","0.2037"
"1.6800","0.5471","26.9434","0.5471","0.6113","0.2092"
"1.7000","0.5554","27.6633","0.5554","0.6206","0.2148"
"1.7200","0.5617","28.3134","0.5617","0.6276","0.2198"
"1.7400","0.5673","28.7817","0.5673","0.6338","0.2235"
"1.7600","0.5731","29.1944","0.5731","0.6403","0.2267"
"1.7800","0.5796","29.7066","0.5796","0.6476","0.2307"
"1.8000","0.5863","30.3474","0.5863","0.6551","0.2356"
"1.8200","0.5929","31.0459","0.5929","0.6625","0.2411"
"1.8400","0.6001","31.7517","0.6001","0.6705","0.2465"
"1.8600","0.6076","32.5225","0.6076","0.6789","0.2525"
"1.8800","0.6134","33.2584","0.6134","0.6854","0.2582"
"1.9000","0.6190","33.8651","0.6190","0.6916","0.2629"
"1.9200","0.6249","34.4406","0.6249","0.6982","0.2674"
"1.9400","0.6315","35.0828","0.6315","0.7056","0.2724"
"1.9600","0.6388","35.8113","0.6388","0.7138","0.2781"
"1.9800","0.6460","36.5897","0.6460","0.7218","0.2841"
"2.0000","0.6542","37.3472","0.6542","0.7309","0.2900"
