Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(mm),(%),(MPa)
"0.0000","0.0000","0.0051","0.0000","0.0000","0.0000"
"0.0200","0.0004","0.0344","0.0004","0.0004","0.0003"
"0.0400","0.0018","0.0897","0.0018","0.0015","0.0007"
"0.0600","0.0064","0.3295","0.0064","0.0053","0.0026"
"0.0800","0.0135","0.9432","0.0135","0.0113","0.0073"
"0.1000","0.0202","1.6523","0.0202","0.0169","0.0128"
"0.1200","0.0263","2.2251","0.0263","0.0220","0.0173"
"0.1400","0.0329","2.7639","0.0329","0.0275","0.0215"
"0.1600","0.0409","3.3402","0.0409","0.0342","0.0259"
"0.1800","0.0486","3.9594","0.0486","0.0406","0.0307"
"0.2000","0.0541","4.5409","0.0541","0.0453","0.0353"
"0.2200","0.0598","5.0391","0.0598","0.0500","0.0391"
"0.2400","0.0658","5.4975","0.0658","0.0550","0.0427"
"0.2600","0.0726","5.9673","0.0726","0.0607","0.0463"
"0.2800","0.0793","6.4654","0.0793","0.0663","0.0502"
"0.3000","0.0860","6.9880","0.0860","0.0719","0.0543"
"0.3200","0.0939","7.5581","0.0939","0.0785","0.0587"
"0.3400","0.1012","8.1026","0.1012","0.0846","0.0629"
"0.3600","0.1067","8.5775","0.1067","0.0892","0.0666"
"0.3800","0.1123","8.9876","0.1123","0.0939","0.0698"
"0.4000","0.1185","9.3557","0.1185","0.0991","0.0726"
"0.4200","0.1253","9.6976","0.1253","0.1048","0.0753"
"0.4400","0.1321","10.0987","0.1321","0.1104","0.0784"
"0.4600","0.1393","10.5629","0.1393","0.1165","0.0820"
"0.4800","0.1482","11.1253","0.1482","0.1239","0.0864"
"0.5000","0.1557","11.7731","0.1557","0.1302","0.0914"
"0.5200","0.1615","12.3875","0.1615","0.1350","0.0962"
"0.5400","0.1670","12.9048","0.1670","0.1396","0.1002"
"0.5600","0.1728","13.3528","0.1728","0.1445","0.1037"
"0.5800","0.1790","13.8221","0.1790","0.1496","0.1073"
"0.6000","0.1850","14.3261","0.1850","0.1546","0.1112"
"0.6200","0.1916","14.8562","0.1916","0.1602","0.1153"
"0.6400","0.1997","15.4399","0.1997","0.1669","0.1199"
"0.6600","0.2069","16.1049","0.2069","0.1729","0.1250"
"0.6800","0.2125","16.7299","0.2125","0.1776","0.1299"
"0.7000","0.2183","17.2841","0.2183","0.1825","0.1342"
"0.7200","0.2248","17.8022","0.2248","0.1879","0.1382"
"0.7400","0.2320","18.3999","0.2320","0.1939","0.1429"
"0.7600","0.2388","19.0599","0.2388","0.1997","0.1480"
"0.7800","0.2462","19.7344","0.2462","0.2058","0.1532"
"0.8000","0.2541","20.4338","0.2541","0.2125","0.1587"
"0.8200","0.2600","21.1293","0.2600","0.2174","0.1641"
"0.8400","0.2656","21.7091","0.2656","0.2220","0.1686"
"0.8600","0.2716","22.2364","0.2716","0.2270","0.1727"
"0.8800","0.2784","22.8125","0.2784","0.2327","0.1771"
"0.9000","0.2856","23.4562","0.2856","0.2387","0.1821"
"0.9200","0.2924","24.1469","0.2924","0.2444","0.1875"
"0.9400","0.3001","24.8412","0.3001","0.2509","0.1929"
"0.9600","0.3081","25.5760","0.3081","0.2575","0.1986"
"0.9800","0.3139","26.2709","0.3139","0.2624","0.2040"
"1.0000","0.3194","26.8508","0.3194","0.2670","0.2085"
"1.0200","0.3252","27.3535","0.3252","0.2718","0.2124"
"1.0400","0.3316","27.8777","0.3316","0.2772","0.2165"
"1.0600","0.3384","28.4470","0.3384","0.2829","0.2209"
"1.0800","0.3451","29.0335","0.3451","0.2885","0.2254"
"1.1000","0.3531","29.6821","0.3531","0.2952","0.2305"
"1.1200","0.3612","30.4093","0.3612","0.3019","0.2361"
"1.1400","0.3670","31.0860","0.3670","0.3068","0.2414"
"1.1600","0.3726","31.6358","0.3726","0.3114","0.2456"
"1.1800","0.3784","32.1314","0.3784","0.3164","0.2495"
"1.2000","0.3852","32.6675","0.3852","0.3220","0.2536"
"1.2200","0.3922","33.2790","0.3922","0.3279","0.2584"
"1.2400","0.3994","33.9201","0.3994","0.3339","0.2634"
"1.2600","0.4078","34.6145","0.4078","0.3409","0.2688"
"1.2800","0.4149","35.3225","0.4149","0.3469","0.2743"
"1.3000","0.4201","35.8775","0.4201","0.3512","0.2786"
"1.3200","0.4255","36.2768","0.4255","0.3557","0.2817"
"1.3400","0.4313","36.6503","0.4313","0.3606","0.2846"
"1.3600","0.4382","37.1064","0.4382","0.3663","0.2881"
"1.3800","0.4454","37.6471","0.4454","0.3723","0.2923"
"1.4000","0.4530","38.2221","0.4530","0.3787","0.2968"
"1.4200","0.4618","38.8515","0.4618","0.3860","0.3017"
"1.4400","0.4686","39.4711","0.4686","0.3917","0.3065"
"1.4600","0.4742","39.9682","0.4742","0.3964","0.3103"
"1.4800","0.4800","40.3754","0.4800","0.4013","0.3135"
"1.5000","0.4863","40.7781","0.4863","0.4065","0.3166"
"1.5200","0.4931","41.2412","0.4931","0.4122","0.3202"
"1.5400","0.4995","41.7064","0.4995","0.4175","0.3238"
"1.5600","0.5063","42.1757","0.5063","0.4232","0.3275"
"1.5800","0.5141","42.6949","0.5141","0.4298","0.3315"
"1.6000","0.5200","43.2042","0.5200","0.4347","0.3355"
"1.6200","0.5252","43.5866","0.5252","0.4391","0.3384"
"1.6400","0.5310","43.9139","0.5310","0.4439","0.3410"
"1.6600","0.5376","44.2712","0.5376","0.4494","0.3437"
"1.6800","0.5448","44.6836","0.5448","0.4555","0.3469"
"1.7000","0.5521","45.1392","0.5521","0.4615","0.3505"
"1.7200","0.5601","45.6130","0.5601","0.4682","0.3542"
"1.7400","0.5687","46.1381","0.5687","0.4754","0.3582"
"1.7600","0.5748","46.5883","0.5748","0.4805","0.3617"
"1.7800","0.5802","46.8857","0.5802","0.4850","0.3640"
"1.8000","0.5859","47.1336","0.5859","0.4898","0.3660"
"1.8200","0.5924","47.4501","0.5924","0.4952","0.3684"
"1.8400","0.5991","47.8632","0.5991","0.5008","0.3716"
"1.8600","0.6059","48.3343","0.6059","0.5065","0.3753"
"1.8800","0.6138","48.8671","0.6138","0.5131","0.3794"
"1.9000","0.6215","49.4874","0.6215","0.5195","0.3842"
"1.9200","0.6272","50.0494","0.6272","0.5243","0.3886"
"1.9400","0.6327","50.4949","0.6327","0.5290","0.3921"
"1.9600","0.6385","50.9072","0.6385","0.5338","0.3953"
"1.9800","0.6452","51.3851","0.6452","0.5394","0.3990"
"2.0000","0.6521","51.9733","0.6521","0.5452","0.4035"
"2.0200","0.6592","52.6025","0.6592","0.5510","0.4084"
"2.0400","0.6673","53.2772","0.6673","0.5578","0.4137"
"2.0600","0.6746","54.0324","0.6746","0.5639","0.4195"
"2.0800","0.6800","54.6867","0.6800","0.5685","0.4246"
"2.1000","0.6855","55.1893","0.6855","0.5731","0.4285"
"2.1200","0.6916","55.6845","0.6916","0.5782","0.4324"
"2.1400","0.6985","56.2514","0.6985","0.5839","0.4368"
"2.1600","0.7054","56.9080","0.7054","0.5897","0.4419"
"2.1800","0.7124","57.5998","0.7124","0.5955","0.4472"
"2.2000","0.7207","58.3284","0.7207","0.6025","0.4529"
"2.2200","0.7279","59.1025","0.7279","0.6085","0.4589"
"2.2400","0.7334","59.7386","0.7334","0.6131","0.4638"
"2.2600","0.7389","60.2030","0.7389","0.6177","0.4674"
"2.2800","0.7452","60.6752","0.7452","0.6230","0.4711"
"2.3000","0.7521","61.2811","0.7521","0.6288","0.4758"
"2.3200","0.7587","61.9414","0.7587","0.6343","0.4809"
"2.3400","0.7661","62.6322","0.7661","0.6404","0.4863"
"2.3600","0.7747","63.4146","0.7747","0.6476","0.4924"
"2.3800","0.7813","64.2273","0.7813","0.6532","0.4987"
"2.4000","0.7869","64.8763","0.7869","0.6578","0.5037"
"2.4200","0.7925","65.4330","0.7925","0.6625","0.5080"
"2.4400","0.7989","66.0128","0.7989","0.6678","0.5125"
"2.4600","0.8056","66.7090","0.8056","0.6735","0.5180"
"2.4800","0.8122","67.4404","0.8122","0.6790","0.5236"
"2.5000","0.8193","68.1845","0.8193","0.6849","0.5294"
"2.5200","0.8275","69.0309","0.8275","0.6918","0.5360"
"2.5400","0.8338","69.8879","0.8338","0.6970","0.5426"
"2.5600","0.8394","70.5850","0.8394","0.7017","0.5480"
"2.5800","0.8452","71.1933","0.8452","0.7066","0.5528"
"2.6000","0.8519","71.8478","0.8519","0.7122","0.5579"
"2.6200","0.8591","72.6409","0.8591","0.7182","0.5640"
"2.6400","0.8659","73.4935","0.8659","0.7239","0.5706"
"2.6600","0.8737","74.3605","0.8737","0.7304","0.5774"
"2.6800","0.8816","75.3496","0.8816","0.7370","0.5850"
"2.7000","0.8872","76.2478","0.8872","0.7417","0.5920"
"2.7200","0.8926","76.9488","0.8926","0.7462","0.5975"
"2.7400","0.8985","77.5785","0.8985","0.7511","0.6023"
"2.7600","0.9051","78.2858","0.9051","0.7567","0.6078"
"2.7800","0.9119","79.1006","0.9119","0.7623","0.6142"
"2.8000","0.9186","79.9455","0.9186","0.7679","0.6207"
"2.8020","0.9193","80.0294","0.9193","0.7685","0.6214"

