Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(mm),(%),(MPa)
"0.0000","0.0000","0.0520","0.0000","0.0000","0.0004"
"0.0200","0.0004","0.0531","0.0004","0.0004","0.0004"
"0.0400","0.0018","0.0952","0.0018","0.0018","0.0007"
"0.0600","0.0064","0.2893","0.0064","0.0064","0.0022"
"0.0800","0.0135","0.7530","0.0135","0.0135","0.0058"
"0.1000","0.0198","1.3671","0.0198","0.0198","0.0106"
"0.1200","0.0260","2.0497","0.0260","0.0260","0.0159"
"0.1400","0.0331","2.7949","0.0331","0.0330","0.0217"
"0.1600","0.0403","3.6501","0.0403","0.0402","0.0283"
"0.1800","0.0476","4.6209","0.0476","0.0475","0.0359"
"0.2000","0.0556","5.6468","0.0556","0.0555","0.0438"
"0.2200","0.0618","6.6693","0.0618","0.0617","0.0518"
"0.2400","0.0669","7.5285","0.0669","0.0668","0.0585"
"0.2600","0.0722","8.2236","0.0722","0.0720","0.0639"
"0.2800","0.0779","8.8738","0.0779","0.0778","0.0689"
"0.3000","0.0845","9.5940","0.0845","0.0843","0.0745"
"0.3200","0.0913","10.3853","0.0913","0.0911","0.0806"
"0.3400","0.0984","11.2008","0.0984","0.0982","0.0870"
"0.3600","0.1071","12.0721","0.1071","0.1069","0.0937"
"0.3800","0.1143","12.9994","0.1143","0.1140","0.1009"
"0.4000","0.1198","13.7450","0.1198","0.1195","0.1067"
"0.4200","0.1256","14.2999","0.1256","0.1253","0.1110"
"0.4400","0.1321","14.8112","0.1321","0.1318","0.1150"
"0.4600","0.1391","15.3780","0.1391","0.1388","0.1194"
"0.4800","0.1460","16.0174","0.1460","0.1456","0.1244"
"0.5000","0.1534","16.6905","0.1534","0.1531","0.1296"
"0.5200","0.1615","17.4050","0.1615","0.1611","0.1351"
"0.5400","0.1674","18.0804","0.1674","0.1670","0.1404"
"0.5600","0.1726","18.5999","0.1726","0.1722","0.1444"
"0.5800","0.1781","19.0213","0.1781","0.1777","0.1477"
"0.6000","0.1843","19.4832","0.1843","0.1839","0.1513"
"0.6200","0.1910","20.0156","0.1910","0.1905","0.1554"
"0.6400","0.1976","20.6045","0.1976","0.1972","0.1600"
"0.6600","0.2056","21.2286","0.2056","0.2052","0.1648"
"0.6800","0.2151","22.1799","0.2151","0.2146","0.1722"
"0.7000","0.2221","23.4674","0.2221","0.2217","0.1822"
"0.7200","0.2280","24.6458","0.2280","0.2275","0.1914"
"0.7400","0.2337","25.5783","0.2337","0.2331","0.1986"
"0.7600","0.2398","26.4149","0.2398","0.2393","0.2051"
"0.7800","0.2460","27.2885","0.2460","0.2455","0.2119"
"0.8000","0.2522","28.1943","0.2522","0.2516","0.2189"
"0.8200","0.2591","29.1172","0.2591","0.2586","0.2261"
"0.8400","0.2667","30.1549","0.2667","0.2661","0.2341"
"0.8600","0.2727","31.1947","0.2727","0.2721","0.2422"
"0.8800","0.2784","32.0401","0.2784","0.2778","0.2488"
"0.9000","0.2846","32.8009","0.2846","0.2839","0.2547"
"0.9200","0.2916","33.6307","0.2916","0.2910","0.2611"
"0.9400","0.2988","34.5564","0.2988","0.2982","0.2683"
"0.9600","0.3060","35.4699","0.3060","0.3053","0.2754"
"0.9800","0.3142","36.4269","0.3142","0.3136","0.2828"
"1.0000","0.3215","37.5273","0.3215","0.3208","0.2914"
"1.0200","0.3271","38.4931","0.3271","0.3264","0.2989"
"1.0400","0.3329","39.2330","0.3329","0.3321","0.3046"
"1.0600","0.3390","39.9457","0.3390","0.3382","0.3102"
"1.0800","0.3457","40.7724","0.3457","0.3449","0.3166"
"1.1000","0.3523","41.7206","0.3523","0.3516","0.3239"
"1.1200","0.3594","42.7111","0.3594","0.3586","0.3316"
"1.1400","0.3677","43.7854","0.3677","0.3669","0.3400"
"1.1600","0.3744","44.9650","0.3744","0.3735","0.3491"
"1.1800","0.3797","45.8714","0.3797","0.3789","0.3562"
"1.2000","0.3853","46.5167","0.3853","0.3844","0.3612"
"1.2200","0.3913","47.0791","0.3913","0.3904","0.3655"
"1.2400","0.3979","47.6706","0.3979","0.3971","0.3701"
"1.2600","0.4047","48.3529","0.4047","0.4039","0.3754"
"1.2800","0.4123","49.0991","0.4123","0.4114","0.3812"
"1.3000","0.4208","49.9789","0.4208","0.4199","0.3881"
"1.3200","0.4276","50.9592","0.4276","0.4267","0.3957"
"1.3400","0.4332","51.7484","0.4332","0.4322","0.4018"
"1.3600","0.4387","52.3450","0.4387","0.4378","0.4064"
"1.3800","0.4450","52.9610","0.4450","0.4440","0.4112"
"1.4000","0.4520","53.7265","0.4520","0.4510","0.4172"
"1.4200","0.4588","54.6302","0.4588","0.4578","0.4242"
"1.4400","0.4665","55.5873","0.4665","0.4655","0.4316"
"1.4600","0.4749","56.6759","0.4749","0.4738","0.4401"
"1.4800","0.4808","57.7368","0.4808","0.4798","0.4483"
"1.5000","0.4863","58.4828","0.4863","0.4852","0.4541"
"1.5200","0.4921","59.0560","0.4921","0.4910","0.4585"
"1.5400","0.4988","59.7215","0.4988","0.4977","0.4637"
"1.5600","0.5057","60.5816","0.5057","0.5046","0.4704"
"1.5800","0.5126","61.5314","0.5126","0.5114","0.4778"
"1.6000","0.5207","62.5529","0.5207","0.5195","0.4857"
"1.6200","0.5287","63.7851","0.5287","0.5275","0.4953"
"1.6400","0.5343","64.9911","0.5343","0.5332","0.5046"
"1.6600","0.5398","65.9211","0.5398","0.5386","0.5118"
"1.6800","0.5455","66.6998","0.5455","0.5443","0.5179"
"1.7000","0.5522","67.5820","0.5522","0.5510","0.5247"
"1.7200","0.5590","68.7232","0.5590","0.5578","0.5336"
"1.7400","0.5657","69.9858","0.5657","0.5645","0.5434"
"1.7600","0.5734","71.3192","0.5734","0.5722","0.5537"
"1.7800","0.5808","72.8198","0.5808","0.5795","0.5654"
"1.8000","0.5863","74.2176","0.5863","0.5850","0.5763"
"1.8200","0.5920","75.3219","0.5920","0.5907","0.5848"
"1.8400","0.5982","76.3344","0.5982","0.5969","0.5927"
"1.8600","0.6049","77.4571","0.6049","0.6036","0.6014"
"1.8800","0.6118","78.7526","0.6118","0.6104","0.6115"
"1.8980","0.6183","80.0141","0.6183","0.6170","0.6213"

