Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(mm),(%),(MPa)
"0.0000","0.0000","0.0057","0.0000","0.0000","0.0000"
"0.0200","0.0004","0.0143","0.0004","0.0004","0.0001"
"0.0400","0.0010","-0.0046","0.0010","0.0010","0.0000"
"0.0600","0.0020","0.0032","0.0020","0.0020","0.0000"
"0.0800","0.0036","0.0097","0.0036","0.0036","0.0001"
"0.1000","0.0064","-0.0061","0.0064","0.0065","0.0000"
"0.1200","0.0128","0.0243","0.0128","0.0129","0.0002"
"0.1400","0.0212","0.0326","0.0212","0.0213","0.0003"
"0.1600","0.0286","0.0212","0.0286","0.0287","0.0002"
"0.1800","0.0362","0.0511","0.0362","0.0363","0.0004"
"0.2000","0.0435","0.0876","0.0435","0.0437","0.0007"
"0.2200","0.0490","0.0934","0.0490","0.0492","0.0007"
"0.2400","0.0542","0.1138","0.0542","0.0545","0.0009"
"0.2600","0.0598","0.1302","0.0598","0.0601","0.0010"
"0.2800","0.0660","0.1299","0.0660","0.0663","0.0010"
"0.3000","0.0724","0.1406","0.0724","0.0727","0.0011"
"0.3200","0.0788","0.1472","0.0788","0.0792","0.0011"
"0.3400","0.0862","0.1616","0.0862","0.0866","0.0013"
"0.3600","0.0946","0.1781","0.0946","0.0950","0.0014"
"0.3800","0.1008","0.1917","0.1008","0.1013","0.0015"
"0.4000","0.1062","0.1962","0.1062","0.1067","0.0015"
"0.4200","0.1118","0.2208","0.1118","0.1123","0.0017"
"0.4400","0.1182","0.2374","0.1182","0.1188","0.0018"
"0.4600","0.1251","0.2385","0.1251","0.1257","0.0019"
"0.4800","0.1321","0.2354","0.1321","0.1327","0.0018"
"0.5000","0.1402","0.2675","0.1402","0.1408","0.0021"
"0.5200","0.1483","0.3081","0.1483","0.1490","0.0024"
"0.5400","0.1539","0.3473","0.1539","0.1546","0.0027"
"0.5600","0.1592","0.4033","0.1592","0.1600","0.0031"
"0.5800","0.1649","0.4715","0.1649","0.1656","0.0037"
"0.6000","0.1712","0.5340","0.1712","0.1720","0.0041"
"0.6200","0.1778","0.6004","0.1778","0.1786","0.0047"
"0.6400","0.1844","0.7815","0.1844","0.1853","0.0061"
"0.6600","0.1922","1.0341","0.1922","0.1931","0.0080"
"0.6800","0.2000","1.4461","0.2000","0.2009","0.0112"
"0.7000","0.2058","2.0568","0.2058","0.2067","0.0160"
"0.7200","0.2117","2.7218","0.2117","0.2126","0.0211"
"0.7400","0.2180","3.3671","0.2180","0.2190","0.0261"
"0.7600","0.2250","4.0285","0.2250","0.2260","0.0313"
"0.7800","0.2320","4.7393","0.2320","0.2330","0.0368"
"0.8000","0.2388","5.4884","0.2388","0.2399","0.0426"
"0.8200","0.2468","6.2726","0.2468","0.2479","0.0487"
"0.8400","0.2539","7.1198","0.2539","0.2550","0.0553"
"0.8600","0.2593","7.9052","0.2593","0.2604","0.0614"
"0.8800","0.2648","8.5723","0.2648","0.2660","0.0666"
"0.9000","0.2710","9.1945","0.2710","0.2722","0.0714"
"0.9200","0.2778","9.8513","0.2778","0.2791","0.0765"
"0.9400","0.2847","10.6007","0.2847","0.2860","0.0823"
"0.9600","0.2918","11.3847","0.2918","0.2931","0.0884"
"0.9800","0.3003","12.2257","0.3003","0.3017","0.0949"
"1.0000","0.3074","13.1233","0.3074","0.3088","0.1019"
"1.0200","0.3131","13.9413","0.3131","0.3145","0.1082"
"1.0400","0.3187","14.6135","0.3187","0.3202","0.1135"
"1.0600","0.3251","15.2456","0.3251","0.3266","0.1184"
"1.0800","0.3319","15.9278","0.3319","0.3334","0.1237"
"1.1000","0.3386","16.6615","0.3386","0.3401","0.1294"
"1.1200","0.3457","17.4186","0.3457","0.3472","0.1352"
"1.1400","0.3538","18.2113","0.3538","0.3554","0.1414"
"1.1600","0.3599","19.0429","0.3599","0.3615","0.1479"
"1.1800","0.3654","19.7627","0.3654","0.3670","0.1534"
"1.2000","0.3712","20.3788","0.3712","0.3729","0.1582"
"1.2200","0.3775","20.9964","0.3775","0.3792","0.1630"
"1.2400","0.3843","21.6677","0.3843","0.3861","0.1682"
"1.2600","0.3913","22.3963","0.3913","0.3931","0.1739"
"1.2800","0.3992","23.1752","0.3992","0.4010","0.1799"
"1.3000","0.4074","24.0273","0.4074","0.4093","0.1866"
"1.3200","0.4133","24.8727","0.4133","0.4152","0.1931"
"1.3400","0.4188","25.5567","0.4188","0.4206","0.1984"
"1.3600","0.4246","26.1402","0.4246","0.4265","0.2030"
"1.3800","0.4313","26.7262","0.4313","0.4333","0.2075"
"1.4000","0.4385","27.3946","0.4385","0.4405","0.2127"
"1.4200","0.4456","28.0857","0.4456","0.4476","0.2181"
"1.4400","0.4536","28.7663","0.4536","0.4556","0.2234"
"1.4600","0.4611","29.4391","0.4611","0.4632","0.2286"
"1.4800","0.4665","29.9950","0.4665","0.4686","0.2329"
"1.5000","0.4719","30.3856","0.4719","0.4740","0.2359"
"1.5200","0.4777","30.7203","0.4777","0.4799","0.2385"
"1.5400","0.4841","31.1026","0.4841","0.4863","0.2415"
"1.5600","0.4907","31.5512","0.4907","0.4929","0.2450"
"1.5800","0.4974","32.0529","0.4974","0.4997","0.2489"
"1.6000","0.5056","32.6085","0.5056","0.5079","0.2532"
"1.6200","0.5135","33.2887","0.5135","0.5158","0.2585"
"1.6400","0.5192","33.9440","0.5192","0.5215","0.2636"
"1.6600","0.5249","34.5086","0.5249","0.5273","0.2679"
"1.6800","0.5311","35.0284","0.5311","0.5335","0.2720"
"1.7000","0.5382","35.6050","0.5382","0.5406","0.2764"
