Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(mm),(%),(MPa)
"0.0000","0.0000","0.0110","0.0000","0.0000","0.0001"
"0.0200","0.0004","0.0111","0.0004","0.0004","0.0001"
"0.0400","0.0018","0.0180","0.0018","0.0018","0.0001"
"0.0600","0.0062","0.0327","0.0062","0.0062","0.0003"
"0.0800","0.0137","0.0196","0.0137","0.0138","0.0002"
"0.1000","0.0214","-0.0032","0.0214","0.0215","0.0000"
"0.1200","0.0288","-0.0072","0.0288","0.0289","-0.0001"
"0.1400","0.0367","-0.0132","0.0367","0.0368","-0.0001"
"0.1600","0.0448","-0.0001","0.0448","0.0450","0.0000"
"0.1800","0.0502","-0.0056","0.0502","0.0504","0.0000"
"0.2000","0.0551","-0.0067","0.0551","0.0553","-0.0001"
"0.2200","0.0605","-0.0086","0.0605","0.0607","-0.0001"
"0.2400","0.0664","0.0076","0.0664","0.0667","0.0001"
"0.2600","0.0731","0.0095","0.0731","0.0733","0.0001"
"0.2800","0.0797","0.0155","0.0797","0.0800","0.0001"
"0.3000","0.0866","-0.0049","0.0866","0.0869","0.0000"
"0.3200","0.0947","-0.0035","0.0947","0.0950","0.0000"
"0.3400","0.1015","-0.0044","0.1015","0.1019","0.0000"
"0.3600","0.1072","-0.0081","0.1072","0.1076","-0.0001"
"0.3800","0.1129","-0.0046","0.1129","0.1134","0.0000"
"0.4000","0.1191","0.0106","0.1191","0.1195","0.0001"
"0.4200","0.1259","0.0102","0.1259","0.1263","0.0001"
"0.4400","0.1325","-0.0110","0.1325","0.1330","-0.0001"
"0.4600","0.1394","0.0003","0.1394","0.1399","0.0000"
"0.4800","0.1476","0.0184","0.1476","0.1481","0.0001"
"0.5000","0.1540","-0.0008","0.1540","0.1546","0.0000"
"0.5200","0.1593","-0.0181","0.1593","0.1599","-0.0001"
"0.5400","0.1649","-0.0166","0.1649","0.1655","-0.0001"
"0.5600","0.1712","0.0326","0.1712","0.1718","0.0003"
"0.5800","0.1781","0.2204","0.1781","0.1788","0.0017"
"0.6000","0.1851","0.4738","0.1851","0.1858","0.0037"
"0.6200","0.1928","0.9329","0.1928","0.1935","0.0072"
"0.6400","0.2013","1.6683","0.2013","0.2020","0.0130"
"0.6600","0.2074","2.5056","0.2074","0.2081","0.0195"
"0.6800","0.2128","3.2662","0.2128","0.2136","0.0254"
"0.7000","0.2185","3.9341","0.2185","0.2193","0.0305"
"0.7200","0.2250","4.5805","0.2250","0.2258","0.0356"
"0.7400","0.2319","5.2743","0.2319","0.2327","0.0410"
"0.7600","0.2385","6.0084","0.2385","0.2393","0.0467"
"0.7800","0.2460","6.7941","0.2460","0.2470","0.0528"
"0.8000","0.2543","7.6617","0.2543","0.2552","0.0595"
"0.8200","0.2605","8.5294","0.2605","0.2614","0.0662"
"0.8400","0.2662","9.3091","0.2662","0.2672","0.0723"
"0.8600","0.2721","9.9815","0.2721","0.2731","0.0775"
"0.8800","0.2784","10.6356","0.2784","0.2795","0.0826"
"0.9000","0.2850","11.3264","0.2850","0.2860","0.0879"
"0.9200","0.2914","12.0457","0.2914","0.2925","0.0935"
"0.9400","0.2991","12.7858","0.2991","0.3002","0.0993"
"0.9600","0.3070","13.6134","0.3070","0.3082","0.1057"
"0.9800","0.3129","14.4457","0.3129","0.3141","0.1122"
"1.0000","0.3187","15.1694","0.3187","0.3199","0.1178"
"1.0200","0.3248","15.8315","0.3248","0.3260","0.1229"
"1.0400","0.3314","16.4827","0.3314","0.3327","0.1280"
"1.0600","0.3383","17.2061","0.3383","0.3395","0.1336"
"1.0800","0.3453","17.9614","0.3453","0.3465","0.1395"
"1.1000","0.3536","18.7607","0.3536","0.3550","0.1457"
"1.1200","0.3610","19.6408","0.3610","0.3623","0.1525"
"1.1400","0.3665","20.4514","0.3665","0.3679","0.1588"
"1.1600","0.3721","21.1281","0.3721","0.3735","0.1640"
"1.1800","0.3783","21.7471","0.3783","0.3797","0.1689"
"1.2000","0.3851","22.3915","0.3851","0.3865","0.1739"
"1.2200","0.3918","23.1169","0.3918","0.3933","0.1795"
"1.2400","0.3990","23.8627","0.3990","0.4005","0.1853"
"1.2600","0.4074","24.6490","0.4074","0.4090","0.1914"
"1.2800","0.4143","25.4804","0.4143","0.4159","0.1978"
"1.3000","0.4200","26.2128","0.4200","0.4216","0.2035"
"1.3200","0.4258","26.8138","0.4258","0.4274","0.2082"
"1.3400","0.4323","27.3687","0.4323","0.4339","0.2125"
