Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(mm),(%),(MPa)
"0.0000","0.0000","0.0116","0.0000","0.0000","0.0001"
"0.0200","0.0004","0.0126","0.0004","0.0003","0.0001"
"0.0400","0.0019","0.0055","0.0019","0.0015","0.0000"
"0.0600","0.0067","0.0302","0.0067","0.0051","0.0002"
"0.0800","0.0140","0.0261","0.0140","0.0108","0.0002"
"0.1000","0.0214","0.0013","0.0214","0.0165","0.0000"
"0.1200","0.0290","-0.0182","0.0290","0.0223","-0.0001"
"0.1400","0.0364","0.0011","0.0364","0.0280","0.0000"
"0.1600","0.0443","0.0044","0.0443","0.0341","0.0000"
"0.1800","0.0515","-0.0194","0.0515","0.0396","-0.0002"
"0.2000","0.0565","-0.0173","0.0565","0.0435","-0.0001"
"0.2200","0.0615","0.0065","0.0615","0.0473","0.0001"
"0.2400","0.0669","0.0070","0.0669","0.0515","0.0001"
"0.2600","0.0730","-0.0027","0.0730","0.0562","0.0000"
"0.2800","0.0797","-0.0007","0.0797","0.0614","0.0000"
"0.3000","0.0863","0.0129","0.0863","0.0665","0.0001"
"0.3200","0.0940","0.0086","0.0940","0.0723","0.0001"
"0.3400","0.1022","-0.0108","0.1022","0.0787","-0.0001"
"0.3600","0.1083","-0.0089","0.1083","0.0834","-0.0001"
"0.3800","0.1140","0.0117","0.1140","0.0877","0.0001"
"0.4000","0.1196","0.0363","0.1196","0.0921","0.0003"
"0.4200","0.1259","0.0646","0.1259","0.0969","0.0005"
"0.4400","0.1327","0.0910","0.1327","0.1021","0.0007"
"0.4600","0.1395","0.1089","0.1395","0.1074","0.0008"
"0.4800","0.1472","0.1259","0.1472","0.1133","0.0010"
"0.5000","0.1552","0.1482","0.1552","0.1194","0.0012"
"0.5200","0.1610","0.1697","0.1610","0.1239","0.0013"
"0.5400","0.1663","0.1715","0.1663","0.1280","0.0013"
"0.5600","0.1720","0.1899","0.1720","0.1324","0.0015"
"0.5800","0.1785","0.3010","0.1785","0.1374","0.0023"
"0.6000","0.1856","0.4723","0.1856","0.1429","0.0037"
"0.6200","0.1926","0.7637","0.1926","0.1483","0.0059"
"0.6400","0.2007","1.1382","0.2007","0.1545","0.0088"
"0.6600","0.2081","1.5479","0.2081","0.1602","0.0120"
